browser	date	value
Chrome	2008-01	10
Chrome	2008-04	8
Chrome	2008-07	14
Chrome	2008-10	9
Chrome	2009-01	10
Chrome	2009-04	8
Chrome	2009-07	14
Chrome	2009-10	9
Chrome	2010-01	10
Chrome	2010-04	8
Chrome	2010-07	14
Chrome	2010-10	9
Firefox	2008-01	3
Firefox	2008-04	3.5
Firefox	2008-07	5
Firefox	2008-10	11
Firefox	2009-01	3
Firefox	2009-04	3.5
Firefox	2009-07	4.5
Firefox	2009-10	10.5
Firefox	2010-01	3
Firefox	2010-04	3.5
Firefox	2010-07	4
Firefox	2010-10	10
Safari	2008-01	10
Safari	2008-04	8
Safari	2008-07	14
Safari	2008-10	9
Safari	2009-01	10
Safari	2009-04	8
Safari	2009-07	14
Safari	2009-10	9
Safari	2010-01	10
Safari	2010-04	8
Safari	2010-07	13.5
Safari	2010-10	8.5
Opera	2008-01	3
Opera	2008-04	3.5
Opera	2008-07	5
Opera	2008-10	11
Opera	2009-01	3
Opera	2009-04	3.5
Opera	2009-07	4.5
Opera	2009-10	10.5
Opera	2010-01	3
Opera	2010-04	3.5
Opera	2010-07	4
Opera	2010-10	10